Vote,Result,Question,Issue,Date
1 (51-48),Agreed to,On the Motion to Proceed: Motion to Proceed to S. Con. Res. 3; A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,S.Con.Res. 3,Jan 04
2 (48-52),Rejected,On the Motion S.Amdt. 8: Motion to Waive Section 305(b)(2) of the C.B.A. re: Kaine Amdt. No. 8; To prohibit legislation that makes America sick again.,S.Con.Res. 3,Jan 05
3 (14-83),Rejected,On the Amendment S.Amdt. 1: Paul Amdt. No. 1; In the nature of a substitute.,S.Con.Res. 3,Jan 09
4 (49-47),Rejected,On the Motion S.Amdt. 20: Motion to Waive CBA Re: Germaneness Re: Hirono Amdt. No. 20; To protect the Medicare and Medicaid programs.,S.Con.Res. 3,Jan 09
5 (31-67),Rejected,"On the Motion S.Amdt. 52: Motion to Waive All Applicable Budgetary Discipline Re: Flake Amdt. No. 52; To strengthen Social Security and Medicare without raiding it to pay for new Government programs, like Obamacare, that have failed Americans by increasing premiums and reducing affordable health care options, to reform Medicaid without prioritizing able-bodied adults over the disabled, and to return regulation of insurance to State governments.",S.Con.Res. 3,Jan 10
6 (49-49),Rejected,"On the Motion S.Amdt. 19: Motion to Waive All Applicable Budgetary Discipline Re: Sanders Amdt. No. 19; To prevent the Senate from breaking Donald Trump's promise that ""there will be no cuts to Social Security, Medicare, and Medicaid"".",S.Con.Res. 3,Jan 10
7 (47-51),Rejected,On the Motion S.Amdt. 13: Motion to Waive All Applicable Budgetary Discipline Re: Nelson Amdt. No. 13; To create a point of order against legislation that would repeal health reforms that closed the prescription drug coverage gap under Medicare.,S.Con.Res. 3,Jan 11
8 (48-50),Rejected,On the Motion S.Amdt. 60: Motion to Waive All Applicable Budgetary Discipline Re: King Amdt. No. 60; To create a point of order against legislation that would reduce health insurance access and affordability for individuals based on their occupation.,S.Con.Res. 3,Jan 11
9 (51-47),Rejected,On the Motion S.Amdt. 173: Motion to Waive All Applicable Budgetary Discipline Re: Barrasso Amdt. No. 173; To establish a deficit-neutral reserve fund relating to rural health and repealing and replacing Obamacare.,S.Con.Res. 3,Jan 11
10 (51-47),Rejected,On the Motion S.Amdt. 64: Motion to Waive the C.B.A. Re: Manchin Amdt. No. 64; To create a point of order against legislation that would harm rural hospitals and health care providers.,S.Con.Res. 3,Jan 11
