"Senator_Name" "Senator_Party" "Senator_State" "State_Winner_2016" "State_Winner_2008" "PCA Axis 1" "PCA Axis 2" "PCA Axis 3" "PCA Axis 4" "PCA Axis 5"
"Alexander" "R" "TN" "Trump" "McCain" 11.4367200027019 4.44004773441412 -0.930166800665558 -1.24677137567261 0.925107855676722
"Baldwin" "D" "WI" "Trump" "Obama" -9.52990487738695 7.16175805600007 -1.37931484819153 -0.319193600378059 -0.237592808576605
"Barrasso" "R" "WY" "Trump" "McCain" 11.7010413776376 5.05418427764364 -0.695311473499273 -0.747457568419757 0.712043500413454
"Bennet" "D" "CO" "Clinton" "Obama" -6.84120000690042 8.96537230626421 2.5752521132405 1.22472120759555 2.47167539536629
"Blumenthal" "D" "CT" "Clinton" "Obama" -10.2570738235792 5.0766971127808 -2.12408228481905 -0.650357414240164 -1.46883570470972
"Blunt" "R" "MO" "Trump" "McCain" 11.664554221237 5.09996964871304 -0.563771901054776 -0.427600909363392 0.497721916220054
"Booker" "D" "NJ" "Clinton" "Obama" -11.1086659387494 1.21282703649111 -2.06382406450275 -4.22381591204697 2.19326504015161
"Boozman" "R" "AR" "Trump" "McCain" 11.6321887232371 5.18144613894007 -0.805898610488284 -0.69965642448854 0.0516038323777325
"Brown" "D" "OH" "Trump" "Obama" -9.0661803619272 7.79215371136277 -0.800011389722798 0.272074025477466 -0.338971384512257
"Burr" "R" "NC" "Trump" "Obama" 11.8256603051303 4.88580859261913 -0.594216397944254 -0.267189183286104 0.420856748927286
"Cantwell" "D" "WA" "Clinton" "Obama" -9.2959123268976 8.12501616826434 -1.66755856146782 1.55170655460173 -0.616368857572738
"Capito" "R" "WV" "Trump" "McCain" 11.4089828316031 5.03594030741234 -0.796452139163323 -0.877972329068294 0.408911129319642
"Cardin" "D" "MD" "Clinton" "Obama" -9.03599962468695 8.19407927331424 -0.767186331522558 1.1712329088616 -1.64577313493491
"Carper" "D" "DE" "Clinton" "Obama" -7.17321125207171 8.45438064009786 1.40230197761145 1.72297228576609 2.15858947676076
