senator_name,senator_party,senator_state,pca_1,pca_2
Akaka,D,HI,13.709547548525586,1.2485954525579603
Allard,R,CO,-15.148304903013994,3.1838585008352176
Allen,R,VA,-12.71419689936997,-2.495440511973319
Baucus,D,MT,5.364625086908073,-5.916527962924614
Bayh,D,IN,9.485671970876295,-1.2231894558101148
Bennett,R,UT,-13.93520628847777,0.5412457552429868
Biden,D,DE,13.147736188673138,0.15067966555114506
Bingaman,D,NM,12.202866917094028,-1.4776596579106933
Bond,R,MO,-13.818542208334438,0.06466479948868793
Boxer,D,CA,14.737991710475129,3.4510923072840014
Breaux,D,LA,2.2791567607405354,-7.0805456786782655
Brownback,R,KS,-13.680373243697602,1.091363658274536
Bunning,R,KY,-15.238004263732885,2.6977023176438384
Burns,R,MT,-13.445882322107195,-1.4176480639535758
Byrd,D,WV,10.636517307312918,0.3812743035984765
Campbell,R,CO,-11.619662065969674,-2.6187090302557756
Cantwell,D,WA,14.48030583786432,1.2928295864380912
Carnahan,D,MO,10.57266684023118,-1.9831893473063704
Carper,D,DE,8.82293210938496,-3.7235407989800295
Chafee,R,RI,-0.3192661772074463,-4.4230058417481715
Cleland,D,GA,8.162990243971066,-4.939632631700096
Clinton,D,NY,14.22163818498442,-0.009294598840310603
Cochran,R,MS,-10.642271387908144,-2.980609762381869
Collins,R,ME,-5.505992138779149,-5.619157766948525
Conrad,D,ND,12.377423368424836,-0.8040024785573452
Corzine,D,NJ,15.04228053398975,4.5071673789806495
Craig,R,ID,-13.83116378423876,-0.8647685241642258
Crapo,R,ID,-12.490837191787156,-2.5820215956288792
Daschle,D,SD,13.989267473676303,0.4825247376366227
Dayton,D,MN,15.263778887343927,3.855533907330371
DeWine,R,OH,-10.254911128315815,-3.2788658808354114
Dodd,D,CT,14.939953625180866,4.1622732594201475
Domenici,R,NM,-10.898566627628089,-1.8785991806676778
Dorgan,D,ND,12.41022320529334,-1.4319557342137328
Durbin,D,IL,14.209952331320322,3.1716195791982607
Edwards,D,NC,12.276588413171847,-1.9786589984754677
Ensign,R,NV,-12.349173398145329,3.39040773092972
Enzi,R,WY,-14.23659736775978,0.495900603612647
Feingold,D,WI,12.003923824027726,10.94148643173051
Feinstein,D,CA,10.414145921773855,-2.467639300926625
Fitzgerald,R,IL,-8.586797291336987,0.9370412989456681
Frist,R,TN,-14.475002438050495,0.6628294433302077
Graham,D,FL,12.92386622507817,0.9205341789403979
Gramm,R,TX,-15.079435747722686,8.929938939197708
Grassley,R,IA,-12.967453242981916,-1.142027036261281
Gregg,R,NH,-14.837102883631731,4.354416264764355
Hagel,R,NE,-12.719066176211868,-1.9220665553866587
Harkin,D,IA,14.779302284561485,3.0040928547314016
Hatch,R,UT,-13.51337276221446,-0.7967984793696296
Helms,R,NC,-14.94448339743954,5.839883087811512
Hollings,D,SC,13.481560534751754,1.9447250617571241
Hutchinson,R,AR,-11.95942661785096,-3.111422295006161
Hutchison,R,TX,-11.846484323905338,-0.7799626195899014
Inhofe,R,OK,-14.382377586300347,0.45206190471179175
Inouye,D,HI,13.781704450878737,-0.11018637160139275
Johnson,D,SD,11.042102298621426,-3.38814867919524
Kennedy,D,MA,14.304387887932545,3.2609251039929563
Kerry,D,MA,14.269624429738178,0.9131060873583371
Kohl,D,WI,11.064592099891518,-1.8163241057239794
Kyl,R,AZ,-15.629277852604384,7.328618691124618
Landrieu,D,LA,9.109815833652481,-2.4514560809744714
Leahy,D,VT,14.340980783665774,1.1364415865130082
Levin,D,MI,14.79977480973686,1.7286705756479817
Lieberman,D,CT,12.775933356155887,0.42739162938873254
Lincoln,D,AR,8.58458649009329,-4.500914529038974
Lott,R,MS,-14.541753989809084,1.3598563036305353
Lugar,R,IN,-12.674896483588281,-1.0255554427264533
McCain,R,AZ,-6.252005076613905,7.16066891160071
McConnell,R,KY,-14.306355278999286,-0.4144192343536878
Mikulski,D,MD,14.271359416625177,-0.5220623202220669
Miller,D,GA,-2.71342510576557,-7.074387021656639
Murkowski,R,AK,-12.73740480254923,-1.291220501343774
Murray,D,WA,13.99450253055876,0.6724785023709883
Nelson,D,FL,12.803049613724127,0.9242542388021209
Nelson,D,NE,2.4096735051318205,-6.801287536893336
Nickles,R,OK,-15.21007570400012,5.783919753751781
Reed,D,RI,15.11825919131924,2.170873242706718
Reid,D,NV,13.71869627646181,-0.49156417596890783
Roberts,R,KS,-13.48767743658698,-1.9655280819709602
Rockefeller,D,WV,14.040144593431124,0.2394841832701433
Santorum,R,PA,-13.643386895794874,-0.5669040871342105
Sarbanes,D,MD,15.08686619553229,1.5667580816209115
Schumer,D,NY,12.889596334513783,-0.16090449074003163
Sessions,R,AL,-13.427339016019955,-1.5208100758441883
Shelby,R,AL,-11.472566101072525,-2.6679704087663745
Smith,R,NH,-15.282029997439432,5.1606096412718525
Smith,R,OR,-9.524926074426299,-4.627369003443554
Snowe,R,ME,-4.479899821216081,-5.975583869972114
Specter,R,PA,-3.206094990772303,-4.766613467391719
Stabenow,D,MI,14.037371439157438,0.11678503964963663
Stevens,R,AK,-9.845565896815387,-2.351896152803042
Thomas,R,WY,-14.80008278579348,3.383900501254777
Thompson,R,TN,-13.143146258208578,2.014527105864808
Thurmond,R,SC,-15.087316950823075,2.5707194539737936
Torricelli,D,NJ,8.688801340168405,-2.755918334321089
Voinovich,R,OH,-13.44780604819168,5.715028234194558
Warner,R,VA,-10.70346862134926,-3.8132449506978983
Wellstone,D,MN,15.780399705423896,5.0615476429782404
Wyden,D,OR,12.207319134509046,-0.8450988096325056
